# Engine name: SSI Liquid - Kerosene
# Sun Jan 21 21:30:38 2018
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.8000    800.0000      0.0000      1.0000      0.0000   1178.6629     21.4922      1.2530      1.1436   1060.2048    173.4251    190.4056      1.6041      1.7612      1.0000 
     0.8000    850.0000      0.0000      1.0000      0.0000   1182.6176     21.5412      1.2528      1.1436   1060.7861    174.5391    191.3072      1.6136      1.7686      1.0000 
     0.8000    900.0000      0.0000      1.0000      0.0000   1186.3560     21.5878      1.2526      1.1435   1061.3298    175.5775    192.1493      1.6223      1.7755      1.0000 
     0.8000    950.0000      0.0000      1.0000      0.0000   1189.9006     21.6321      1.2524      1.1434   1061.8402    176.5494    192.9390      1.6305      1.7819      1.0000 
     0.8000   1000.0000      0.0000      1.0000      0.0000   1193.2706     21.6744      1.2521      1.1433   1062.3207    177.4623    193.6819      1.6382      1.7879      1.0000 
     0.9000     50.0000      0.0000      1.0000      0.0000   1039.1999     19.3485      1.2335      1.1462   1049.0817    102.7329    141.6819      0.9603      1.3244      1.0000 
     0.9000    100.0000      0.0000      1.0000      0.0000   1077.2807     19.7114      1.2428      1.1478   1057.6348    127.0490    156.5532      1.1780      1.4516      1.0000 
     0.9000    150.0000      0.0000      1.0000      0.0000   1100.8400     19.9452      1.2474      1.1485   1062.5345    138.8668    164.8403      1.2817      1.5214      1.0000 
     0.9000    200.0000      0.0000      1.0000      0.0000   1118.1147     20.1212      1.2502      1.1489   1065.9622    146.4836    170.4369      1.3476      1.5680      1.0000 
     0.9000    250.0000      0.0000      1.0000      0.0000   1131.8241     20.2636      1.2521      1.1492   1068.5824    152.0236    174.6116      1.3952      1.6025      1.0000 
     0.9000    300.0000      0.0000      1.0000      0.0000   1143.2206     20.3837      1.2534      1.1493   1070.6950    156.3377    177.9161      1.4319      1.6296      1.0000 
     0.9000    350.0000      0.0000      1.0000      0.0000   1152.9890     20.4880      1.2544      1.1494   1072.4595    159.8485    180.6368      1.4617      1.6518      1.0000 
     0.9000    400.0000      0.0000      1.0000      0.0000   1161.5463     20.5804      1.2551      1.1495   1073.9709    162.7950    182.9405      1.4865      1.6705      1.0000 
     0.9000    450.0000      0.0000      1.0000      0.0000   1169.1659     20.6635      1.2556      1.1495   1075.2900    165.3251    184.9325      1.5078      1.6866      1.0000 
