# Engine name: SSI Liquid - IPA
# Sun Oct 29 12:05:59 2017
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.0000   1060.0000      0.0000      1.0000      0.0000   1256.8725     18.8166      1.2716      1.1629   1135.7986    181.1854    198.7091      1.6449      1.7926      0.9338 
     1.0000   1070.0000      0.0000      1.0000      0.0000   1257.5608     18.8220      1.2717      1.1629   1136.0440    181.3745    198.8653      1.6463      1.7936      0.9339 
     1.0000   1080.0000      0.0000      1.0000      0.0000   1258.2432     18.8273      1.2717      1.1630   1136.2871    181.5617    199.0198      1.6476      1.7947      0.9340 
     1.0000   1090.0000      0.0000      1.0000      0.0000   1258.9197     18.8326      1.2718      1.1630   1136.5280    181.7468    199.1728      1.6490      1.7957      0.9340 
     1.0000   1100.0000      0.0000      1.0000      0.0000   1259.5906     18.8378      1.2718      1.1630   1136.7666    181.9300    199.3242      1.6503      1.7967      0.9341 
     1.0000   1110.0000      0.0000      1.0000      0.0000   1260.2558     18.8430      1.2719      1.1630   1137.0030    182.1113    199.4742      1.6516      1.7978      0.9341 
     1.0000   1120.0000      0.0000      1.0000      0.0000   1260.9156     18.8482      1.2719      1.1631   1137.2373    182.2907    199.6226      1.6529      1.7988      0.9342 
     1.0000   1130.0000      0.0000      1.0000      0.0000   1261.5699     18.8533      1.2719      1.1631   1137.4695    182.4683    199.7695      1.6541      1.7998      0.9343 
     1.0000   1140.0000      0.0000      1.0000      0.0000   1262.2189     18.8584      1.2720      1.1631   1137.6995    182.6442    199.9150      1.6554      1.8007      0.9343 
     1.0000   1150.0000      0.0000      1.0000      0.0000   1262.8627     18.8635      1.2720      1.1631   1137.9276    182.8182    200.0591      1.6566      1.8017      0.9344 
     1.0000   1160.0000      0.0000      1.0000      0.0000   1263.5013     18.8685      1.2721      1.1631   1138.1536    182.9906    200.2018      1.6579      1.8027      0.9345 
     1.0000   1170.0000      0.0000      1.0000      0.0000   1264.1348     18.8735      1.2721      1.1632   1138.3777    183.1612    200.3431      1.6591      1.8036      0.9345 
     1.0000   1180.0000      0.0000      1.0000      0.0000   1264.7634     18.8784      1.2722      1.1632   1138.5998    183.3302    200.4831      1.6603      1.8046      0.9346 
     1.0000   1190.0000      0.0000      1.0000      0.0000   1265.3871     18.8833      1.2722      1.1632   1138.8200    183.4975    200.6218      1.6615      1.8055      0.9347 
     1.0000   1200.0000      0.0000      1.0000      0.0000   1266.0059     18.8882      1.2722      1.1632   1139.0384    183.6633    200.7592      1.6627      1.8064      0.9347 
     1.0000   1210.0000      0.0000      1.0000      0.0000   1266.6200     18.8930      1.2723      1.1633   1139.2549    183.8275    200.8953      1.6638      1.8074      0.9348 
     1.0000   1220.0000      0.0000      1.0000      0.0000   1267.2294     18.8978      1.2723      1.1633   1139.4696    183.9901    201.0302      1.6650      1.8083      0.9348 
     1.0000   1230.0000      0.0000      1.0000      0.0000   1267.8343     18.9026      1.2724      1.1633   1139.6826    184.1512    201.1639      1.6661      1.8092      0.9349 
     1.0000   1240.0000      0.0000      1.0000      0.0000   1268.4346     18.9073      1.2724      1.1633   1139.8937    184.3109    201.2963      1.6673      1.8100      0.9349 
     1.0000   1250.0000      0.0000      1.0000      0.0000   1269.0304     18.9120      1.2724      1.1633   1140.1032    184.4691    201.4276      1.6684      1.8109      0.9350 
     1.0000   1260.0000      0.0000      1.0000      0.0000   1269.6218     18.9167      1.2725      1.1634   1140.3109    184.6259    201.5578      1.6695      1.8118      0.9351 
