# Engine name: SSI Liquid - Kerosene
# Fri Jan 5 21:27:23 2018
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.8000    450.0000      0.0000      0.8660      0.0000   1118.9299     19.5823      1.2576      1.1456   1081.4986    168.8852    187.8292      1.5314      1.7032      1.0000 
     0.8000    500.0000      0.0000      0.8660      0.0000   1125.5594     19.6562      1.2575      1.1456   1082.6430    171.0302    189.5345      1.5492      1.7168      1.0000 
     0.8000    550.0000      0.0000      0.8660      0.0000   1131.5884     19.7239      1.2573      1.1456   1083.6672    172.9313    191.0527      1.5649      1.7289      1.0000 
     0.8000    600.0000      0.0000      0.8660      0.0000   1137.1178     19.7863      1.2571      1.1456   1084.5928    174.6355    192.4188      1.5790      1.7398      1.0000 
     0.8000    650.0000      0.0000      0.8660      0.0000   1142.2249     19.8443      1.2568      1.1455   1085.4361    176.1774    193.6589      1.5917      1.7497      1.0000 
     0.8000    700.0000      0.0000      0.8660      0.0000   1146.9702     19.8985      1.2565      1.1455   1086.2097    177.5836    194.7931      1.6033      1.7587      1.0000 
     0.8000    750.0000      0.0000      0.8660      0.0000   1151.4018     19.9494      1.2562      1.1454   1086.9236    178.8747    195.8371      1.6139      1.7669      1.0000 
     0.8000    800.0000      0.0000      0.8660      0.0000   1155.5590     19.9974      1.2559      1.1454   1087.5858    180.0669    196.8035      1.6236      1.7746      1.0000 
     0.8000    850.0000      0.0000      0.8660      0.0000   1159.4738     20.0427      1.2556      1.1453   1088.2028    181.1735    197.7023      1.6327      1.7817      1.0000 
     0.8000    900.0000      0.0000      0.8660      0.0000   1163.1732     20.0858      1.2553      1.1452   1088.7800    182.2052    198.5418      1.6411      1.7883      1.0000 
     0.8000    950.0000      0.0000      0.8660      0.0000   1166.6796     20.1268      1.2550      1.1452   1089.3218    183.1709    199.3291      1.6490      1.7945      1.0000 
     0.8000   1000.0000      0.0000      0.8660      0.0000   1170.0123     20.1659      1.2547      1.1451   1089.8320    184.0781    200.0697      1.6564      1.8003      1.0000 
     0.9000     50.0000      0.0000      0.8660      0.0000   1014.6470     18.0422      1.2423      1.1456   1073.4023    110.6461    147.8365      1.0109      1.3506      1.0000 
     0.9000    100.0000      0.0000      0.8660      0.0000   1053.0748     18.3934      1.2507      1.1476   1082.3407    134.2121    162.8982      1.2160      1.4760      1.0000 
     0.9000    150.0000      0.0000      0.8660      0.0000   1076.7619     18.6179      1.2546      1.1485   1087.4728    145.7932    171.1761      1.3147      1.5436      1.0000 
     0.9000    200.0000      0.0000      0.8660      0.0000   1094.0906     18.7860      1.2569      1.1490   1091.0558    153.2874    176.7528      1.3778      1.5887      1.0000 
     0.9000    250.0000      0.0000      0.8660      0.0000   1107.8200     18.9215      1.2583      1.1494   1093.7953    158.7499    180.9092      1.4233      1.6220      1.0000 
     0.9000    300.0000      0.0000      0.8660      0.0000   1119.2182     19.0356      1.2593      1.1496   1096.0045    163.0094    184.1978      1.4585      1.6481      1.0000 
     0.9000    350.0000      0.0000      0.8660      0.0000   1128.9776     19.1344      1.2599      1.1498   1097.8501    166.4791    186.9049      1.4871      1.6695      1.0000 
     0.9000    400.0000      0.0000      0.8660      0.0000   1137.5192     19.2218      1.2604      1.1499   1099.4312    169.3933    189.1969      1.5109      1.6876      1.0000 
     0.9000    450.0000      0.0000      0.8660      0.0000   1145.1187     19.3002      1.2606      1.1499   1100.8113    171.8968    191.1785      1.5314      1.7031      1.0000 
     0.9000    500.0000      0.0000      0.8660      0.0000   1151.9670     19.3715      1.2608      1.1500   1102.0339    174.0856    192.9199      1.5491      1.7167      1.0000 
     0.9000    550.0000      0.0000      0.8660      0.0000   1158.2015     19.4368      1.2609      1.1500   1103.1296    176.0257    194.4704      1.5648      1.7288      1.0000 
     0.9000    600.0000      0.0000      0.8660      0.0000   1163.9250     19.4972      1.2609      1.1500   1104.1212    177.7649    195.8656      1.5789      1.7397      1.0000 
     0.9000    650.0000      0.0000      0.8660      0.0000   1169.2161     19.5534      1.2609      1.1500   1105.0257    179.3388    197.1322      1.5916      1.7495      1.0000 
     0.9000    700.0000      0.0000      0.8660      0.0000   1174.1364     19.6059      1.2609      1.1500   1105.8565    180.7741    198.2907      1.6031      1.7584      1.0000 
     0.9000    750.0000      0.0000      0.8660      0.0000   1178.7352     19.6552      1.2608      1.1499   1106.6240    182.0921    199.3572      1.6137      1.7667      1.0000 
     0.9000    800.0000      0.0000      0.8660      0.0000   1183.0523     19.7018      1.2607      1.1499   1107.3366    183.3093    200.3443      1.6234      1.7743      1.0000 
     0.9000    850.0000      0.0000      0.8660      0.0000   1187.1206     19.7458      1.2605      1.1499   1108.0013    184.4391    201.2625      1.6324      1.7813      1.0000 
     0.9000    900.0000      0.0000      0.8660      0.0000   1190.9676     19.7877      1.2604      1.1498   1108.6236    185.4925    202.1203      1.6408      1.7879      1.0000 
     0.9000    950.0000      0.0000      0.8660      0.0000   1194.6162     19.8276      1.2602      1.1498   1109.2084    186.4786    202.9245      1.6487      1.7941      1.0000 
