# Engine name: MASA Hybrid
# Fri Dec 2 19:39:07 2016
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.0000   1360.0000      0.0000      1.0000      0.0000   1543.9929     19.1849      1.2773      1.2321   1252.7739    212.0990    229.2384      1.6603      1.7945      1.0000 
     2.0000   1370.0000      0.0000      1.0000      0.0000   1544.4523     19.1883      1.2773      1.2320   1252.8775    212.2409    229.3566      1.6613      1.7952      1.0000 
     2.0000   1380.0000      0.0000      1.0000      0.0000   1544.9092     19.1917      1.2773      1.2319   1252.9804    212.3815    229.4739      1.6622      1.7960      1.0000 
     2.0000   1390.0000      0.0000      1.0000      0.0000   1545.3636     19.1951      1.2774      1.2318   1253.0826    212.5211    229.5902      1.6632      1.7968      1.0000 
     2.0000   1400.0000      0.0000      1.0000      0.0000   1545.8156     19.1984      1.2774      1.2318   1253.1841    212.6594    229.7056      1.6641      1.7975      1.0000 
     2.0000   1410.0000      0.0000      1.0000      0.0000   1546.2653     19.2017      1.2775      1.2317   1253.2849    212.7966    229.8200      1.6651      1.7983      1.0000 
     2.0000   1420.0000      0.0000      1.0000      0.0000   1546.7125     19.2050      1.2775      1.2316   1253.3849    212.9327    229.9335      1.6660      1.7990      1.0000 
     2.0000   1430.0000      0.0000      1.0000      0.0000   1547.1574     19.2083      1.2775      1.2315   1253.4843    213.0677    230.0461      1.6669      1.7998      1.0000 
     2.0000   1440.0000      0.0000      1.0000      0.0000   1547.6000     19.2116      1.2776      1.2314   1253.5830    213.2015    230.1579      1.6679      1.8005      1.0000 
     2.0000   1450.0000      0.0000      1.0000      0.0000   1548.0403     19.2149      1.2776      1.2313   1253.6810    213.3343    230.2687      1.6688      1.8012      1.0000 
     2.0000   1460.0000      0.0000      1.0000      0.0000   1548.4783     19.2181      1.2776      1.2312   1253.7783    213.4661    230.3787      1.6697      1.8019      1.0000 
